field,description,source,source website,secondary source,secondary source website
COMID,unique identifier,NHD,,Urquhart/Schaeffer,
Name,"Resevoir Name, Dam Name",NHD,,Urquhart/Schaeffer,
MaxAreaLowIntensityBloom,maximum surface area in low intensity bloom during 2008-2011 study period,,,,
MaxAreaModerateIntensityBloom,maximum surface area in moderate intensity bloom during 2008-2011 study period,,,,
MaxAreaHighIntensityBloom,maximum surface area in high intensity bloom during 2008-2011 study period,,,,
MaxCyanConcentration,maximum cyanobacteria concentration during 2008-2011 study period,,,,
COUNT,number of valid CyAN pixel cells within reservoir polygon,,,,
AREA,area of valid CyAN pixel cells within reservoir polygon,,,,
Freq,frequency of cyanobacteria blooms (% of observation dates with cyanobacteria),,,,
AgMidHiSlo,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/Documentation/DataDictionary.html,LakeCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/WelcomePage.html,,
CatAreaSqK,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/Documentation/DataDictionary.html,LakeCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/WelcomePage.html,,
WsAreaSqKm,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/Documentation/DataDictionary.html,LakeCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/WelcomePage.html,,
CatPctFull,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/Documentation/DataDictionary.html,LakeCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/WelcomePage.html,,
WsPctFull,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/Documentation/DataDictionary.html,LakeCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/WelcomePage.html,,
inStreamCa,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/Documentation/DataDictionary.html,LakeCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/WelcomePage.html,,
PctAg2006S,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/Documentation/DataDictionary.html,LakeCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/WelcomePage.html,,
PctAg200_1,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/Documentation/DataDictionary.html,LakeCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/WelcomePage.html,,
PctAg200_2,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/Documentation/DataDictionary.html,LakeCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/WelcomePage.html,,
PctAg200_3,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/Documentation/DataDictionary.html,LakeCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/WelcomePage.html,,
Agricultur,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/Documentation/DataDictionary.html,LakeCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/WelcomePage.html,,
CBNFCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/Documentation/DataDictionary.html,LakeCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/WelcomePage.html,,
FertCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/Documentation/DataDictionary.html,LakeCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/WelcomePage.html,,
ManureCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/Documentation/DataDictionary.html,LakeCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/WelcomePage.html,,
CBNFWs,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/Documentation/DataDictionary.html,LakeCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/WelcomePage.html,,
FertWs,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/Documentation/DataDictionary.html,LakeCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/WelcomePage.html,,
ManureWs,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/Documentation/DataDictionary.html,LakeCat,ftp://newftp.epa.gov/EPADataCommons/ORD/NHDPlusLandscapeAttributes/LakeCat/WelcomePage.html,,
